,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_probability,state
143,143,0.8107064366995175,2023-01-15 20:00:52.337314,2023-01-15 20:03:24.861578,0 days 00:02:32.524264,21.352904325813252,0.025042534081734003,linear,True,COMPLETE
144,144,0.0,2023-01-15 20:01:11.639107,2023-01-15 20:03:44.189558,0 days 00:02:32.550451,21.738764103556445,0.03244225004170782,histogram_intersection,True,COMPLETE
145,145,0.0,2023-01-15 20:01:31.479109,2023-01-15 20:04:03.224444,0 days 00:02:31.745335,17.412489757918163,0.032248185401310456,histogram_intersection,True,COMPLETE
146,146,0.0,2023-01-15 20:01:49.243420,2023-01-15 20:04:22.875846,0 days 00:02:33.632426,25.742057480180602,0.1284359799959205,histogram_intersection,True,COMPLETE
147,147,0.0,2023-01-15 20:02:08.340104,2023-01-15 20:04:42.117527,0 days 00:02:33.777423,12.248054528049249,0.05829076302829032,histogram_intersection,True,COMPLETE
148,148,0.8516426137312323,2023-01-15 20:02:27.314032,2023-01-15 20:05:01.024106,0 days 00:02:33.710074,22.547659827892986,0.03531416791686253,RBF,True,COMPLETE
149,149,0.8510812664494951,2023-01-15 20:02:46.720109,2023-01-15 20:05:20.030127,0 days 00:02:33.310018,9.256866541510249,0.03429895091347931,RBF,True,COMPLETE
150,150,0.8525708702918026,2023-01-15 20:03:05.901644,2023-01-15 20:05:39.495668,0 days 00:02:33.594024,14.008545263755282,0.02026002664129727,RBF,True,COMPLETE
151,151,0.856228789958343,2023-01-15 20:03:25.089723,2023-01-15 20:05:58.817318,0 days 00:02:33.727595,12.870583425776315,0.020368844756329114,RBF,True,COMPLETE
152,152,0.8551278906182194,2023-01-15 20:03:44.415731,2023-01-15 20:06:17.795480,0 days 00:02:33.379749,11.88244527855305,0.019847325669542042,RBF,True,COMPLETE
153,153,0.8236973873947756,2023-01-15 20:04:03.455352,2023-01-15 20:06:37.841581,0 days 00:02:34.386229,11.599646254762979,0.05073365002864065,RBF,True,COMPLETE
154,154,0.8587960634415648,2023-01-15 20:04:23.158359,2023-01-15 20:06:56.387808,0 days 00:02:33.229449,12.132597339147608,0.01952761751165955,RBF,True,COMPLETE
155,155,0.8564201192229481,2023-01-15 20:04:42.284965,2023-01-15 20:07:15.551410,0 days 00:02:33.266445,10.462729773448176,0.020040595204990463,RBF,True,COMPLETE
